STATUS,UNIVERSITY NAME,FACULTY NAME,LEVEL TYPE,YEARS,BRANCH TYPE,CATEGORY NAME,SERIES NAME,SUB SERIES NAME,COLOR,PROD SUM PRICE,PROD TOTAL AMT,INSTALL NUM,INSTALL SUM FINAL,HP VAT SUM
Overdue 1,มหาวิทยาลัยราชภัฏพิบูลสงคราม,บัญชี,ปริญญาตรี,4,3.0,Smart Phone,iPhone 13,128GB,Pink,26900,26900,24,1524.33,36583.92
Overdue 1,มหาวิทยาลัยราชภัฏสุราษฎ์ธานี,นิติศาสตร์​,ปริญญาตรี,4,3.0,Smart Phone,iPhone 14 Plus,128GB,Purple,36200,36200,24,2051.33,49231.92
Overdue 1,มหาวิทยาลัยหัวเฉียวเฉลิมพระเกียรติ วิทยาเขตบางพลี,บริหารธุรกิจ,ปริญญาตรี,2,3.0,Smart Phone,iPhone 14 Pro Max + 20W USB-C Power Adapter,128GB,Gold,43690,43690,24,2330.13,55923.12
Overdue 1,สถาบันบัณฑิตพัฒนศิลป์,ศึกษาศาสตร์/ครุศาสตร์,ปริญญาตรี,4,3.0,Smart Phone,iPhone 14,128GB,Starlight,29500,29500,24,1671.67,40120.08
Overdue 1,มหาวิทยาลัยขอนแก่น,มนุษศาสตร์/สังคมศาสตร์/สังคมสงเคราะห์,ปริญญาตรี,1,3.0,Smart Phone,iPhone 11 (New Box) 128GB,128GB,Black,19200,19200,24,980,23520
Overdue 1,มหาวิทยาลัยราชภัฏสุราษฎ์ธานี,มนุษศาสตร์/สังคมศาสตร์/สังคมสงเคราะห์,ปริญญาตรี,1,3.0,Smart Phone,iPhone 11 (New Box) 128GB,128GB,White,19200,19200,24,1088,26112
Wait Welcome Call,มหาวิทยาลัยเทคโนโลยีราชมงคลศรีวิชัย วิทยาเขตตรัง,เกษตรศาสตร์/ประมง/สิ่งแวดล้อม/ทรัพยากร/วนศาสตร์,ปริญญาตรี,3,2.0,Smart Phone,iPhone 11 (New Box) 128GB,128GB,White,19200,19200,9,1388.34,12495.06
Wait Welcome Call,มหาวิทยาลัยนเรศวร,บริหารธุรกิจ,ปริญญาตรี,2,3.0,Smart Phone,iPhone 14 Pro Max + 20W USB-C Power Adapter,128GB,Silver,43690,43690,24,2184.5,52428
Overdue 1,มหาวิทยาลัยเวสเทิร์น วิทยาเขตบุรีรัมย์,พยาบาล,ปริญญาตรี,2,3.0,Laptop,MacBook Air 13: M1 chip 8C CPU/7C GPU/8GB/256GB - 2020,256GB,Silver,31400,31400,24,1779.34,42704.16
Overdue 1,มหาวิทยาลัยราชภัฏภูเก็ต,วิทยาศาสตร์และเทคโนโลยี/วิทยาการคอม,ปริญญาตรี,2,3.0,Smart Phone,iPhone 14 Plus,128GB,Purple,36200,36200,24,2051.33,49231.92
Overdue 1,มหาวิทยาลัยกรุงเทพ วิทยาเขตรังสิต,นิติศาสตร์​,ปริญญาตรี,2,3.0,Smart Phone,iPhone 14 Pro Max + 20W USB-C Power Adapter,128GB,Space Black,43690,43690,24,2330.13,55923.12
Wait Welcome Call,มหาวิทยาลัยวลัยลักษณ์ นครศรีธรรมราช,เทคโนโลยี,ปริญญาตรี,4,1.0,Smart Phone,iPhone 13,128GB,Starlight,26900,26900,24,1426.66,34239.84
Overdue 1,มหาวิทยาลัยราชภัฏเชียงราย,การบริการ/การท่องเที่ยว/การโรงแรม,ปริญญาตรี,1,1.0,Smart Phone,iPhone 14 Plus,128GB,Blue,36200,36200,18,2187.08,39367.44
Overdue 1,มหาวิทยาลัยราชภัฏวไลยอลงกรณ์ ในพระบรมราชูปถัมภ์ ,การจัดการ,ปริญญาตรี,1,2.0,Smart Phone,iPhone 13,128GB,Green,26900,26900,18,1625.21,29253.78
Overdue 1,มหาวิทยาลัยอุบลราชธานี,บริหารธุรกิจ,ปริญญาตรี,2,1.0,Smart Phone,iPhone 13,128GB,Starlight,26900,26900,24,1508.34,36200.16
Overdue 1,มหาวิทยาลัยเทคโนโลยีราชมงคลศรีวิชัย วิทยาเขตนครศรีธรรมราช,การจัดการ,ปริญญาตรี,1,3.0,Smart Phone,iPhone 14 Pro Max + 20W USB-C Power Adapter,128GB,Deep Purple,43690,47680,24,2333.34,56000.16
Overdue 1,มหาวิทยาลัยขอนแก่น,แพทย์/ทันตแพทย์/สัตวแพทย์,ปริญญาตรี,2,1.0,Laptop,MacBook Air 13 : M2 chip 8C CPU/8C GPU/8GB - 2022,256GB,Starlight,40400,40400,18,2603.56,46864.08
Overdue 1,มหาวิทยาลัยทักษิณ วิทยาเขตสงขลา,การจัดการ,ปริญญาตรี,2,3.0,Smart Phone,iPhone 11 (New Box) 64GB,64GB,Black,16900,16900,24,901.34,21632.16
Overdue 1,วิทยาลัยเทคนิคหนองคาย,ช่าง,เทียบเท่าปริญญาตรี,2,3.0,Smart Phone,iPhone 13,128GB,Green,26900,26900,24,1524.33,36583.92
Overdue 1,มหาวิทยาลัยธุรกิจบัณฑิตย์,นิเทศศาสตร์/สื่อสารมวลชน/ออกแบบนิเทศศิลป์,ปริญญาตรี,3,2.0,Smart Phone,iPhone 14 Pro Max + 20W USB-C Power Adapter,128GB,Gold,43690,43690,24,2330.13,55923.12
Overdue 1,มหาวิทยาลัยขอนแก่น,นิติวิทยาศาสตร์/วิทยาศาสตร์,ปริญญาตรี,1,1.0,Smart Phone,iPhone 13,128GB,Starlight,26900,26900,24,1524.33,36583.92
Overdue 1,มหาวิทยาลัยราชภัฏสวนสุนันทา วิทยาเขตนครปฐม,โลจิสติกส์/การบิน,ปริญญาตรี,3,3.0,Smart Phone,iPhone 14 Plus,128GB,Purple,36200,36200,18,2458.15,44246.7
Overdue 1,วิทยาลัยเทคโนโลยีภาคใต้,มนุษศาสตร์/สังคมศาสตร์/สังคมสงเคราะห์,ปริญญาตรี,3,3.0,Smart Phone,iPhone 14 Plus,128GB,Blue,36200,36200,18,2432.77,43789.86
Overdue 1,มหาวิทยาลัยธรรมศาสตร์ ศูนย์ลำปาง,สาธารณสุข/เวชศาสตร์เขตร้อน,ปริญญาตรี,2,3.0,Smart Phone,iPhone 14 Pro + 20W USB-C Power Adapter,128GB,Deep Purple,40690,40690,18,2552.81,45950.58
Overdue 1,มหาวิทยาลัยธุรกิจบัณฑิตย์,อักษรศาสตร์/ศิลปกรรมศาสตร์,ปริญญาตรี,1,2.0,Smart Phone,iPhone 14 Pro Max + 20W USB-C Power Adapter,128GB,Deep Purple,43690,43690,24,2330.13,55923.12
Wait Welcome Call,มหาวิทยาลัยราชภัฏเชียงราย,ศึกษาศาสตร์/ครุศาสตร์,ปริญญาตรี,3,1.0,Smart Phone,iPhone 13,128GB,Green,26900,26900,24,1524.33,36583.92
